week,day,date,day_of_week,workout_type,description,distance,duration,exercises
1,1,2025-10-13,Monday,Rest/Easy,"Rest or 30-45min easy + Ankle/Foot micro-dose",0,30,"Bosu balance: 2×30sec each leg, Banded dorsiflexion: 2×15 each foot, Toe towel grabs: 2×20"
1,2,2025-10-14,Tuesday,Run + Strength,"Group Run (6-8mi, 1500-2000ft) + Lower Body Strength",7,90,"Goblet Squat: 3×12 @ 35lb, Single-leg RDL: 3×8 each (BW), Glute Bridge (banded): 3×15, Calf Raises (deficit): 3×15, Plank: 3×30sec, Bird dog: 2×10 each"
1,3,2025-10-15,Wednesday,Easy Run + Core,"Easy 45-60min recovery + Core micro-dose",5,60,"Dead bugs: 3×10, Side plank: 2×30sec each side, Flutter kicks: 2×20"
1,4,2025-10-16,Thursday,Run + Strength,"Easy hills + Upper Body Strength",6,90,"Push-ups: 3×8-10, Dumbbell Row: 3×10 @ 30lbs, Overhead Press: 3×8 @ 35lb, Dead Hang: 3×15-20sec, Farmer's Carry: 2×1min @ 44lb"
1,5,2025-10-17,Friday,Easy Run,"Easy 45-60min recovery",5,60,
1,6,2025-10-18,Saturday,Rest,"Rest or 30-45min easy",0,30,
1,7,2025-10-19,Sunday,Long Run,"Long run easy pace",10,120,
2,1,2025-10-20,Monday,Rest/Easy,"Rest or 30-45min easy + Ankle/Foot micro-dose",0,30,"Bosu balance: 2×30sec each leg, Banded dorsiflexion: 2×15 each foot, Toe towel grabs: 2×20"
2,2,2025-10-21,Tuesday,Run + Strength,"Group Run (6-8mi, 1500-2000ft) + Lower Body Strength",7,90,"Goblet Squat: 3×12 @ 35lb, Single-leg RDL: 3×8 each (BW), Glute Bridge (banded): 3×15, Calf Raises (deficit): 3×15, Plank: 3×30sec, Bird dog: 2×10 each"
2,3,2025-10-22,Wednesday,Easy Run + Core,"Easy 45-60min recovery + Core micro-dose",5,60,"Dead bugs: 3×10, Side plank: 2×30sec each side, Flutter kicks: 2×20"
2,4,2025-10-23,Thursday,Run + Strength,"Easy hills + Upper Body Strength",6,90,"Push-ups: 3×8-10, Dumbbell Row: 3×10 @ 30lbs, Overhead Press: 3×8 @ 35lb, Dead Hang: 3×15-20sec, Farmer's Carry: 2×1min @ 44lb"
2,5,2025-10-24,Friday,Easy Run,"Easy 45-60min recovery",5,60,
2,6,2025-10-25,Saturday,Rest,"Rest or 30-45min easy",0,30,
2,7,2025-10-26,Sunday,Long Run,"Long run easy pace",13,150,
3,1,2025-10-27,Monday,Rest/Easy,"Rest or 30-45min easy + Ankle/Foot micro-dose",0,30,"Bosu single-leg balance: 3×45sec each (eyes open), Banded ankle eversion/inversion: 3×15, Calf raises (bent knee): 2×20"
3,2,2025-10-28,Tuesday,Run + Strength,"Group Run (6-8mi, 1500-2000ft) + Lower Body Strength",7,90,"Bulgarian Split Squat: 3×8 each @ 20lb DBs, Single-leg RDL: 3×10 each @ 35lb KB, Eccentric Calf Raises (SL): 3×10 each, Step-ups (20in box): 3×12 each @ BW, Pallof Press: 3×10 each, Suitcase Carry: 2×45sec @ 44lb KB"
3,3,2025-10-29,Wednesday,Easy Run + Core,"Easy 45-60min recovery + Core micro-dose",6,60,"Plank w/ shoulder taps: 3×30sec, Dead bugs: 3×12, Russian twists: 3×20 @ 20lb ball, Side plank w/ leg lift: 2×20sec each"
3,4,2025-10-30,Thursday,Run + Strength,"Hill repeats + Upper Body Strength",7,90,"Bench Press: 3×8 @ 95lbs, Assisted Pull-ups (thick band): 3×5, Dumbbell Row (single-arm): 3×10 each @ 40lbs, Landmine Press: 3×8 each @ 25lb plate, Negative Pull-ups: 3×3 (5sec lower), Face Pulls: 2×15"
3,5,2025-10-31,Friday,Easy Run,"Easy 45-60min recovery",6,60,
3,6,2025-11-01,Saturday,Rest,"Rest or 30-45min easy",0,30,
3,7,2025-11-02,Sunday,Long Run,"Long run easy pace",13,150,
4,1,2025-11-03,Monday,Rest/Easy,"Rest or 30-45min easy + Ankle/Foot micro-dose",0,30,"Bosu single-leg balance: 3×45sec each, Banded ankle eversion/inversion: 3×15, Calf raises (bent knee): 2×20"
4,2,2025-11-04,Tuesday,Run + Strength,"Group Run (6-8mi, 1500-2000ft) + Lower Body Strength",7,90,"Bulgarian Split Squat: 3×8 each @ 22lb DBs, Single-leg RDL: 3×10 each @ 35lb KB, Eccentric Calf Raises (SL): 3×10 each, Step-ups (20in box): 3×12 each @ BW, Pallof Press: 3×10 each, Suitcase Carry: 2×45sec @ 44lb KB"
4,3,2025-11-05,Wednesday,Easy Run + Core,"Easy 45-60min recovery + Core micro-dose",6,60,"Plank w/ shoulder taps: 3×30sec, Dead bugs: 3×12, Russian twists: 3×20 @ 20lb ball, Side plank w/ leg lift: 2×20sec each"
4,4,2025-11-06,Thursday,Run + Strength,"Tempo intervals + Upper Body Strength",7,90,"Bench Press: 3×8 @ 98lbs, Assisted Pull-ups (thick band): 3×6, Dumbbell Row (single-arm): 3×10 each @ 42lbs, Landmine Press: 3×8 each @ 25lb plate, Negative Pull-ups: 3×4 (5sec lower), Face Pulls: 2×15"
4,5,2025-11-07,Friday,Easy Run,"Easy 45-60min recovery",6,60,
4,6,2025-11-08,Saturday,Rest,"Rest or 30-45min easy",0,30,
4,7,2025-11-09,Sunday,Long Run,"Long run easy pace",15,180,
5,1,2025-11-10,Monday,Rest/Easy,"Rest or 30-45min easy + Ankle/Foot micro-dose",0,30,"Bosu single-leg balance: 3×45sec each, Banded ankle eversion/inversion: 3×15, Calf raises (bent knee): 2×20"
5,2,2025-11-11,Tuesday,Run + Strength,"Group Run (6-8mi, 1500-2000ft) + Lower Body Strength",7,90,"Bulgarian Split Squat: 3×8 each @ 25lb DBs, Single-leg RDL: 3×10 each @ 40lb KB, Eccentric Calf Raises (SL): 3×10 each, Step-ups (20in box): 3×12 each @ 10lb DBs, Pallof Press: 3×10 each, Suitcase Carry: 2×45sec @ 44lb KB"
5,3,2025-11-12,Wednesday,Easy Run + Core,"Easy 45-60min recovery + Core micro-dose",6,60,"Plank w/ shoulder taps: 3×30sec, Dead bugs: 3×12, Russian twists: 3×20 @ 20lb ball, Side plank w/ leg lift: 2×20sec each"
5,4,2025-11-13,Thursday,Run + Strength,"VO2 max hills + Upper Body Strength",7,90,"Bench Press: 3×8 @ 100lbs, Assisted Pull-ups (thick band): 3×6, Dumbbell Row (single-arm): 3×10 each @ 45lbs, Landmine Press: 3×8 each @ 25lb plate, Negative Pull-ups: 3×4 (5sec lower), Face Pulls: 2×15"
5,5,2025-11-14,Friday,Easy Run,"Easy 45-60min recovery",6,60,
5,6,2025-11-15,Saturday,Rest,"Rest or 30-45min easy",0,30,
5,7,2025-11-16,Sunday,Long Run,"Long run easy pace",16,190,
6,1,2025-11-17,Monday,Rest/Easy,"Rest or 30-45min easy + Ankle/Foot micro-dose",0,30,"Bosu single-leg balance: 3×45sec each (eyes closed), Banded ankle eversion/inversion: 3×15, Calf raises (bent knee): 2×20"
6,2,2025-11-18,Tuesday,Run + Strength,"Group Run (6-8mi, 1500-2000ft) + Lower Body Strength",7,90,"Bulgarian Split Squat: 3×8 each @ 30lb DBs, Single-leg RDL: 3×10 each @ 44lb KB, Eccentric Calf Raises (SL): 3×10 each, Step-ups (20in box): 3×12 each @ 20lb DBs, Pallof Press: 3×10 each, Suitcase Carry: 2×45sec @ 44lb KB"
